pc_id,eig_val,exp_var
PC0,0.043505684918833866,5.41
PC1,0.024477661070737376,3.04
PC2,0.019253095116077652,2.39
PC3,0.016323164001281892,2.03
PC4,0.013506212646125292,1.68
PC5,0.013021549327763652,1.62
PC6,0.011682561378153261,1.45
PC7,0.010858796666303933,1.35
PC8,0.01020962044711958,1.27
PC9,0.009726409153488725,1.21
