,book_id,chap_id,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment,year
29,BetweenTheActs,30,0.0002539311969263297,0.0002047889379179,0.00019156274917283197,0.0001972372107539072,0.0002313426978862063,0.00018996736375616937,0.00015180004969837972,0.0002757250056188117,-8.90863924760045e-05,1941
30,BetweenTheActs,31,0.0008362190587018639,0.0009382707639808426,0.0001212489089028319,0.0005956842265528786,0.0010418031149094468,0.0005556426956578937,0.00010875471312439788,0.0012600546235507254,0.0006144313963460873,1941
31,BetweenTheActs,32,0.0047335124601700996,0.005679103386778924,0.00420766770482487,0.005592041489350859,0.0036903183158380937,0.0033565358413966176,0.0004138441577074294,0.004695488997782594,-0.0020863160736179056,1941
32,BetweenTheActs,33,0.0010497951187494047,0.0013392876645255442,0.0011386509740163163,0.0014786215891840907,0.0011425056618655069,0.001153029209757135,0.0006109908504268,0.0010776300727702187,-0.00019030190197683958,1941
33,BetweenTheActs,34,0.0009029395308123089,0.0004141845170466178,0.00036043852352022666,0.0009197985908542378,0.0005761592093411155,0.0007254661716450978,0.0003147237380809022,0.0006943786596083244,-0.0003292714287613044,1941
34,Flush,1,0.0002481232974920023,0.00023637418213247585,0.00022745538928216035,0.00031127976523886265,0.00037018244537487645,0.00020880836111976725,0.00012608417434372242,0.0004978732404718523,4.9570158881925284e-05,1933
35,Flush,2,0.0004055077092074463,0.000178373802170638,0.0002439088733757124,0.00037758396951937436,0.00023439321263804297,0.00029269072337811486,0.00012760352659089175,0.0003208029657707049,-0.00020290879210687357,1933
36,Flush,3,0.0002931330087315073,0.00012506380883590048,0.0002246413623232348,0.00033527106324453433,0.00015060518812096078,0.00024175755571370145,9.25607296171652e-05,0.0001529258990237054,-0.0002748002603962172,1933
37,Flush,4,0.0003063940208600777,0.00019130426105783634,0.00026581155547401116,0.00037343181412171847,0.00014751851479710527,0.00032695611117498495,0.0001262981122712806,0.00018757168908902712,-0.00031143816775422385,1933
38,Flush,5,0.00019122173530153016,0.0001479115182355824,0.00013428688336961694,0.00020329238721223555,0.0002036168778439411,0.00017537890806905041,7.026516853736919e-05,0.00015521289256512294,-8.530200683821594e-05,1933
39,Flush,6,0.0001842976305130886,0.00017068886134504548,0.00014756539295746304,0.00023970429675472795,0.00020547636449179068,0.00017345214126613555,0.00013242029016642844,0.00024219875899259114,-3.866181715792734e-05,1933
40,JacobsRoom,1,0.000345943410205399,0.0003149111255458875,0.00019995594116860936,0.0005344303189574312,0.00029615584599920313,0.000535152748243647,0.00018182610059143856,0.00035208303906409164,-0.00042670023149631356,1922
41,JacobsRoom,2,0.0001721420308800822,0.0001925036029427178,0.00017179311500472807,0.00022287263241661437,0.0001975931586125411,0.0002625441588010959,0.00012753744899439794,0.0002905295702913082,-7.245141497503356e-05,1922
42,JacobsRoom,3,0.00018502097308331723,0.0002108904046494178,0.00012670459687027944,0.000203736918328175,0.0002377851995804039,0.00019138635584031334,0.00012173273245850333,0.0002794493344096672,6.828622574762778e-06,1922
43,JacobsRoom,4,0.00013771761853604225,0.00019350947478026338,0.00017744758331577324,0.00021188498275112675,0.00019729173592726056,0.00021425106229136268,7.412597849733028e-05,0.00029772954658555703,-1.5916977415623943e-05,1922
44,JacobsRoom,5,0.00028114675106939,0.000286925734696754,0.00023564469072359932,0.00034677144515258266,0.00034141346366955,0.00035210421923937666,0.00020853394042866,0.0004431649356225927,3.2456347504225335e-05,1922
45,JacobsRoom,6,0.000342166264022621,0.0003127411674212311,0.00027690074931305546,0.0004566541831200739,0.0003589542867509387,0.00036890087894786135,0.0001284689153034748,0.0004215919356248126,-9.626261652927478e-05,1922
46,JacobsRoom,7,0.00034251723223621336,0.0005350232496161366,0.00026585359830361165,0.0005764839335422016,0.0007418301933591433,0.0005181903612707517,0.00017082932072914666,0.0007820394490494184,0.00020671406164116834,1922
47,JacobsRoom,8,0.00032689433992423426,0.0003366365310923021,0.0002635449798432672,0.0003726412742253357,0.00032744615887255173,0.0003347648499987,0.00017122977428637133,0.00036813274584488603,-0.00017496004488847273,1922
48,JacobsRoom,9,0.0002024040405783703,0.00015418288469160626,0.0001837213671617097,0.00018117900734756514,0.00020015879917076456,0.000184877145736452,7.068512790247314e-05,0.00028670693529593317,-8.24047916538e-06,1922
49,JacobsRoom,10,0.00032405441438392333,0.0002191002086600625,0.00019704338756055252,0.00032740926148161915,0.0003518582971648608,0.00028645068367666503,0.00013773658938315834,0.00035898048879890165,-8.890701078545666e-05,1922
50,JacobsRoom,11,0.00022525961138276338,0.0004063090970853941,0.0002164944508748396,0.0002593908290102287,0.0004947362954938692,0.0004246768686479535,0.0001562821700498614,0.0004942511594025703,0.00023825148359331386,1922
51,JacobsRoom,12,0.0001072890925476041,8.651871261062098e-05,9.75203137130603e-05,0.00012156785853948916,0.00011616529696524831,0.000143419264802728,6.290609379219925e-05,0.0001614850470487326,-3.188869564609238e-05,1922
52,JacobsRoom,13,0.0002715717694736542,0.0002002191058019516,0.00020673661119769614,0.0002383389315879974,0.00027045577439102256,0.00026580071090509614,0.00014124291271031805,0.0003346440345078987,-1.2641398839525806e-05,1922
53,JacobsRoom,14,0.0055459964838567,0.0036770937088254334,0.0016715639859279001,0.006259080910860634,0.0,0.00609011413881385,0.0013981532485900668,0.0013981532485900668,-0.010951041801084416,1922
54,MrsDalloway,1,0.0002916442045670122,0.0002395370476944343,0.00022237082223094715,0.0003177255538763093,0.0003869762347141514,0.00028910496028982714,0.00015875919695250998,0.0003163391356132379,-4.0974304372270705e-05,1925
55,MrsDalloway,2,0.0001909057656868793,0.0002015570027000858,0.00014367687764141242,0.0002701717886020864,0.00026588510039154674,0.0002676753704301207,0.00016146041813543311,0.00026476193052098695,-5.076389402733727e-06,1925
56,MrsDalloway,3,0.0001850953190665356,0.0001513423543322712,0.00013506146667757382,0.00020001040152020836,0.00022062899738397695,0.00018273424385907696,0.0001248877902021204,0.00022049447152962723,-2.9044447084629316e-05,1925
57,MrsDalloway,4,0.0002910652182441182,0.0004393147123651879,0.00021426247623025857,0.00036134156632601716,0.0005878116633864545,0.0003677021529344394,0.00019521077769082222,0.0004836671259812485,0.00016767863922354645,1925
