term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
picture,-0.006422428259576594,-0.028197193751177026,0.007325935995585954,-0.040539922730915924,0.07704882661432473,-0.09868077055940935,-0.005632512764033873,-0.11944191515100111,-0.02078052002368353,0.06085941815466531
happy,0.06780986048715898,-0.016494295416818017,-0.00741911360052093,-0.011919470622245104,0.019291682093736356,-0.006512639167727541,0.03400829092545036,0.03228235098068738,-0.020535945524375543,0.022861140284636067
answer,0.039358612977320684,-0.011114410429285182,-0.034320092128225316,0.0031877322722523027,-0.020740913542537154,0.03425969092759995,-0.008847071051026298,-0.002359960828584126,-0.01396181752516982,0.006496447176511362
faces,-0.004031871802198994,0.07464161393413823,-0.008521823827030761,-0.004826168637390993,0.003639732871916046,0.025625337445973506,0.012653483693135998,-0.015757081369780962,0.02157173326957781,-0.047950989886630976
stop,0.016962157460879645,0.020489440075764365,-0.010813545391096878,-0.02982888108365532,0.023047159481513278,0.007929828904971334,0.008537173203578732,0.008841186961873276,-0.014920625259619687,0.013972155274759132
paused,0.03365680330130842,0.003205478421545782,0.04138342138618803,-0.008775998196257961,0.028018130735698255,0.037442773455058365,-0.03437197020824142,-0.06975773213670122,-0.02709566306719242,-0.05183440063516122
sure,0.04314198890710046,-0.00704620457332894,0.006097736059260034,0.0072751053186836945,0.016048262276423017,-0.00286808160877201,0.003236528089557565,-0.0019957719410028663,-0.020420448622371856,0.003634867560358357
fixed,0.014872841559572811,0.006937220734954605,-0.012417492697056831,-0.039009457913883494,0.009577466887252584,0.03993939691044984,0.002711290395719471,0.010530595063375281,-0.01716847239876031,0.007126498791306342
drawn,0.011544532156550675,0.02265904269759778,-0.013469536353799993,-0.04463289822421331,0.005334416706150036,-0.004637313621908418,-0.009204671782802784,0.01377921711436092,0.01322157423704784,0.02786525198263262
legs,-0.000283423989671307,0.037736487742348244,0.024940989034328842,-0.027341220404092426,0.016344819896664323,0.016739349966286954,0.02690749806500563,0.002644834273435731,0.011388980431044913,0.007478976087081153
murmured,0.007432284751974499,0.009096292602017251,0.04338167369741358,-0.030301790236695103,0.043379304528964796,0.06874070135375906,-0.005283906956443958,-0.05014669480653394,0.03055163560011541,0.040005397823960454
difficult,0.03420800009140071,0.003165210585890186,-0.006461777809501204,-0.0011398819359494383,-0.0023425571038246384,0.009675097865691602,0.01131146485982313,-0.008350574354560547,-0.007741191001386882,0.0032699228105171653
falling,-0.026893023277515086,0.032344210790931305,0.018353566633401087,-0.08907435632996231,0.0026252249490864576,0.015038977950242005,0.01304882172006246,0.0018398927174294588,-0.05735529334277798,-0.009080879056867414
four,0.018495045753024658,0.0464972741964272,0.03492831067421559,-0.023079387546207683,-0.010082143796043996,-0.002302236925460499,0.0009339891424043519,0.025062358133663115,0.022074060033122164,0.014289240106215462
